 ,Proportion_ColdStart,Proportion_ColdStart+,Proportion_Increment,Proportion_Increment+,Proportion_MovingWindow,Proportion_MovingWindow+,SZZ_B,SZZ_B+,SZZ_RA,SZZ_RA+,SZZ_U,SZZ_U+,Simple,LLM4SZZ
Proportion_ColdStart,1.0,1.0,0.7888707037643208,0.7888707037643208,0.701780415430267,0.701780415430267,0.2427807486631016,0.24866310160427807,0.24455077086656035,0.24455077086656035,0.2393034825870647,0.2393034825870647,0.45134575569358176,0.24523990860624523
Proportion_ColdStart+,1.0,1.0,0.7888707037643208,0.7888707037643208,0.701780415430267,0.701780415430267,0.2427807486631016,0.24866310160427807,0.24455077086656035,0.24455077086656035,0.2393034825870647,0.2393034825870647,0.45134575569358176,0.24523990860624523
Proportion_Increment,0.7888707037643208,0.7888707037643208,1.0,1.0,0.8096590909090909,0.8096590909090909,0.30372340425531913,0.30957446808510636,0.3051295610787943,0.3051295610787943,0.3024875621890547,0.3024875621890547,0.35737704918032787,0.2974963181148748
Proportion_Increment+,0.7888707037643208,0.7888707037643208,1.0,1.0,0.8096590909090909,0.8096590909090909,0.30372340425531913,0.30957446808510636,0.3051295610787943,0.3051295610787943,0.3024875621890547,0.3024875621890547,0.35737704918032787,0.2974963181148748
Proportion_MovingWindow,0.701780415430267,0.701780415430267,0.8096590909090909,0.8096590909090909,1.0,1.0,0.32891246684350134,0.3347480106100796,0.3308707124010554,0.3308707124010554,0.3286921929388364,0.3286921929388364,0.32831325301204817,0.29621698786581013
Proportion_MovingWindow+,0.701780415430267,0.701780415430267,0.8096590909090909,0.8096590909090909,1.0,1.0,0.32891246684350134,0.3347480106100796,0.3308707124010554,0.3308707124010554,0.3286921929388364,0.3286921929388364,0.32831325301204817,0.29621698786581013
SZZ_B,0.2427807486631016,0.2427807486631016,0.30372340425531913,0.30372340425531913,0.32891246684350134,0.32891246684350134,1.0,0.994060475161987,0.9612937433722163,0.9612937433722163,0.9149253731343283,0.9149253731343283,0.11177105831533478,0.5411946446961895
SZZ_B+,0.24866310160427807,0.24866310160427807,0.30957446808510636,0.30957446808510636,0.3347480106100796,0.3347480106100796,0.994060475161987,1.0,0.9619249074563723,0.9619249074563723,0.9203980099502488,0.9203980099502488,0.11771058315334773,0.546062789500772
SZZ_RA,0.24455077086656035,0.24455077086656035,0.3051295610787943,0.3051295610787943,0.3308707124010554,0.3308707124010554,0.9612937433722163,0.9619249074563723,1.0,1.0,0.9195630585898709,0.9195630585898709,0.11373390557939914,0.5499485066941298
SZZ_RA+,0.24455077086656035,0.24455077086656035,0.3051295610787943,0.3051295610787943,0.3308707124010554,0.3308707124010554,0.9612937433722163,0.9619249074563723,1.0,1.0,0.9195630585898709,0.9195630585898709,0.11373390557939914,0.5499485066941298
SZZ_U,0.2393034825870647,0.2393034825870647,0.3024875621890547,0.3024875621890547,0.3286921929388364,0.3286921929388364,0.9149253731343283,0.9203980099502488,0.9195630585898709,0.9195630585898709,1.0,1.0,0.10856573705179283,0.5635823849579417
SZZ_U+,0.2393034825870647,0.2393034825870647,0.3024875621890547,0.3024875621890547,0.3286921929388364,0.3286921929388364,0.9149253731343283,0.9203980099502488,0.9195630585898709,0.9195630585898709,1.0,1.0,0.10856573705179283,0.5635823849579417
Simple,0.45134575569358176,0.45134575569358176,0.35737704918032787,0.35737704918032787,0.32831325301204817,0.32831325301204817,0.11177105831533478,0.11771058315334773,0.11373390557939914,0.11373390557939914,0.10856573705179283,0.10856573705179283,1.0,0.11745513866231648
LLM4SZZ,0.24523990860624523,0.24523990860624523,0.2974963181148748,0.2974963181148748,0.29621698786581013,0.29621698786581013,0.5411946446961895,0.546062789500772,0.5499485066941298,0.5499485066941298,0.5635823849579417,0.5635823849579417,0.11745513866231648,1.0
